CASE,TOTAL,PASS,FAIL,SKIP
Zicntr,32,29,0,3
Zicond,39,39,0,0
Zicsr,54,54,0,0
Zifencei,20,20,0,0
Zihintntl,55,49,0,6
Zihintpause,17,15,0,2
Zihpm,34,29,0,5
Zimop,32,32,0,0
Ziccamoa,32,27,0,5
Ziccamoc,32,31,0,1
Ziccid,0,0,0,0
Ziccif,22,21,0,1
Zicclsm,35,34,0,1
Ziccrse,37,25,0,12
Zkr,55,55,0,0
Zkt,40,38,0,2
Zcmop,23,23,0,0
Zcmp,51,0,0,51
Zcmt,49,0,0,49
Za64rs,52,32,0,20
Za128rs,52,32,0,20
Zaamo,34,27,0,7
Zabha,43,43,0,0
Zacas,56,48,0,8
Zalasr,0,0,0,0
Zalrsc,56,47,0,9
Zama16b,60,50,0,10
Zawrs,13,13,0,0
cmo.base,17,17,0,0
cmo.Zicbom,26,26,0,0
cmo.Zicbop,8,8,0,0
cmo.Zicboz,12,12,0,0
cfi.Zicfilp,13,13,0,0
cfi.Zicfiss,12,12,0,0
