CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor_CSR,129,114,5,10
Hypervisor_Interrupts,41,22,19,0
Hypervisor_Exceptions,129,120,5,4
Sha,28,27,0,1
Shcounterenw,22,19,0,3
Shgatpa,21,19,2,0
Shlcofideleg,14,1,0,13
Shtvala,50,48,0,2
Shvstvala,22,18,0,4
Shvsatpa,19,19,0,0
Sv39x4,55,55,0,0
Sv48x4,57,57,0,0
Sv57x4,57,57,0,0
Sv39x4_Sv39,161,160,1,0
Sv39x4_Sv48,164,163,1,0
Sv39x4_Sv57,167,166,1,0
Sv48x4_Sv39,164,163,1,0
Sv48x4_Sv48,168,167,1,0
Sv48x4_Sv57,172,171,1,0
Sv57x4_Sv39,167,166,1,0
Sv57x4_Sv48,172,171,1,0
Sv57x4_Sv57,177,176,1,0
Hypervisor_Smcntrpmf,7,0,0,7
Hypervisor_Smcsrind,11,11,0,0
Hypervisor_Smmpm,5,3,0,2
Hypervisor_Smnpm,6,4,0,2
Hypervisor_Smstateen,14,11,0,3
Hypervisor_PMP,8,8,0,0
Hypervisor_Ssccfg,24,11,0,13
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscofpmf,6,2,1,3
Hypervisor_Sscsrind,33,30,0,3
Hypervisor_Ssdbltrp,24,0,0,24
Hypervisor_Ssnpm,48,6,1,41
Hypervisor_Ssqosid,6,0,0,6
Hypervisor_Ssstateen,50,28,4,18
Hypervisor_Sstc,15,14,1,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,15,0,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,38,0,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,38,5,1
Hypervisor_Zicfiss,75,2,0,73
Hypervisor_Zkr,18,18,0,0
Hypervisor_Zihintntl,7,7,0,0
Hypervisor_Zicntr,9,9,0,0
Hypervisor_Zihpm,5,3,0,2
Hypervisor_Vector,13,12,0,1
Hypervisor_Zawrs,12,12,0,0
Ss_CSR,75,63,2,10
Ss_Exceptions,50,36,1,13
Ss_Interrupts,38,38,0,0
Ssccfg,19,13,0,6
Ssccptr,45,42,0,3
Sscofpmf,39,28,0,11
Sscounterenw,20,17,3,0
Sscsrind,14,14,0,0
Ssctr,129,0,0,129
Ssdbltrp,33,0,2,31
Ssstateen,42,17,0,25
Sstc,31,31,0,0
Sstvala,25,17,2,6
Sstvecd,16,13,0,3
Ssu64xl,4,3,1,0
Sv39,50,50,0,0
Sv48,50,50,0,0
Sv57,49,49,0,0
Svbare,32,32,0,0
Svade,33,33,0,0
Svadu,30,30,0,0
Svnapot,53,53,0,0
Svinval,37,37,0,0
Svpbmt,49,46,0,3
Svvptc,15,13,0,2
Svrsw60t59b,0,0,0,0
Sdext,104,21,0,83
Sdtrig,118,7,3,108
Sm_CSR,224,179,4,41
Sm_Exceptions,99,81,1,17
Sm_Interrupts,91,72,1,18
Smcdeleg,26,26,0,0
Smcntrpmf,51,0,0,51
Smcsrind,31,30,0,1
Smctr,41,0,0,41
Smdbltrp,38,5,7,26
Smstateen,47,32,3,12
pmp,74,74,0,0
pmp_sv39,96,96,0,0
pmp_sv48,110,110,0,0
pmp_sv57,124,124,0,0
cfi.Zicfilp,13,13,0,0
cfi.Zicfiss,12,0,0,12
zpm.Smmpm,21,19,0,2
zpm.Smnpm,25,23,0,2
zpm.Ssnpm,24,21,0,3
cmo.base,17,17,0,0
cmo.Zicbom,26,26,0,0
cmo.Zicbop,8,8,0,0
cmo.Zicboz,12,12,0,0
Zicntr,32,30,0,2
Zicond,39,39,0,0
Zicsr,54,54,0,0
Zifencei,20,20,0,0
Zihintntl,55,49,0,6
Zihintpause,17,15,0,2
Zihpm,34,27,0,7
Zimop,32,31,0,1
Ziccamoa,32,27,0,5
Ziccamoc,32,31,0,1
Ziccid,0,0,0,0
Ziccif,22,13,0,9
Zicclsm,35,34,0,1
Ziccrse,37,25,0,12
Zkr,55,55,0,0
Zkt,40,38,0,2
Zcmop,23,22,0,1
Zcmp,51,0,0,51
Zcmt,49,0,0,49
