CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor_CSR,129,114,5,10
Hypervisor_Interrupts,41,22,19,0
Hypervisor_Exceptions,129,120,5,4
Sha,28,27,0,1
Shcounterenw,22,18,0,4
Shgatpa,21,19,2,0
Shlcofideleg,14,1,0,13
Shtvala,50,48,0,2
Shvstvala,22,18,0,4
Shvsatpa,19,19,0,0
Sv39x4,55,55,0,0
Sv48x4,57,57,0,0
Sv57x4,57,57,0,0
Sv39x4_Sv39,161,160,1,0
Sv39x4_Sv48,164,163,1,0
Sv39x4_Sv57,167,166,1,0
Sv48x4_Sv39,164,163,1,0
Sv48x4_Sv48,168,167,1,0
Sv48x4_Sv57,172,171,1,0
Sv57x4_Sv39,167,166,1,0
Sv57x4_Sv48,172,171,1,0
Sv57x4_Sv57,177,176,1,0
Hypervisor_Smcntrpmf,7,0,0,7
Hypervisor_Smcsrind,11,11,0,0
Hypervisor_Smmpm,5,3,0,2
Hypervisor_Smnpm,6,4,0,2
Hypervisor_Smstateen,14,11,0,3
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscsrind,33,30,0,3
Hypervisor_Ssdbltrp,24,0,0,24
Hypervisor_Ssnpm,48,6,1,41
Hypervisor_Ssqosid,6,0,0,6
Hypervisor_Ssstateen,50,28,4,18
Hypervisor_Sstc,15,14,1,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,15,0,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,38,0,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,38,5,1
Hypervisor_Zicfiss,75,2,0,73
Hypervisor_Zkr,18,18,0,0
